variant_name,scope,threshold_source,actual_class,actual_class_label,predicted_class,predicted_class_label,count
standard,year_2025,sequential_native_0_5,1,rank_11_20,1,rank_11_20,50
standard,year_2025,sequential_native_0_5,1,rank_11_20,2,rank_6_10,37
standard,year_2025,sequential_native_0_5,1,rank_11_20,3,top5,143
standard,year_2025,sequential_native_0_5,2,rank_6_10,0,outside_top20,130
standard,year_2025,sequential_native_0_5,2,rank_6_10,1,rank_11_20,19
standard,year_2025,sequential_native_0_5,2,rank_6_10,2,rank_6_10,27
standard,year_2025,sequential_native_0_5,2,rank_6_10,3,top5,89
standard,year_2025,sequential_native_0_5,3,top5,0,outside_top20,94
standard,year_2025,sequential_native_0_5,3,top5,1,rank_11_20,19
standard,year_2025,sequential_native_0_5,3,top5,2,rank_6_10,21
standard,year_2025,sequential_native_0_5,3,top5,3,top5,138
thinking_medium_roc_auc,overall,sequential_native_0_5,0,outside_top20,0,outside_top20,12955
thinking_medium_roc_auc,overall,sequential_native_0_5,0,outside_top20,1,rank_11_20,914
thinking_medium_roc_auc,overall,sequential_native_0_5,0,outside_top20,2,rank_6_10,468
thinking_medium_roc_auc,overall,sequential_native_0_5,0,outside_top20,3,top5,1260
thinking_medium_roc_auc,overall,sequential_native_0_5,1,rank_11_20,0,outside_top20,577
thinking_medium_roc_auc,overall,sequential_native_0_5,1,rank_11_20,1,rank_11_20,112
thinking_medium_roc_auc,overall,sequential_native_0_5,1,rank_11_20,2,rank_6_10,82
thinking_medium_roc_auc,overall,sequential_native_0_5,1,rank_11_20,3,top5,330
thinking_medium_roc_auc,overall,sequential_native_0_5,2,rank_6_10,0,outside_top20,269
thinking_medium_roc_auc,overall,sequential_native_0_5,2,rank_6_10,1,rank_11_20,46
thinking_medium_roc_auc,overall,sequential_native_0_5,2,rank_6_10,2,rank_6_10,42
thinking_medium_roc_auc,overall,sequential_native_0_5,2,rank_6_10,3,top5,191
thinking_medium_roc_auc,overall,sequential_native_0_5,3,top5,0,outside_top20,210
thinking_medium_roc_auc,overall,sequential_native_0_5,3,top5,1,rank_11_20,51
thinking_medium_roc_auc,overall,sequential_native_0_5,3,top5,2,rank_6_10,32
thinking_medium_roc_auc,overall,sequential_native_0_5,3,top5,3,top5,263
thinking_medium_roc_auc,year_2024,sequential_native_0_5,0,outside_top20,0,outside_top20,6474
thinking_medium_roc_auc,year_2024,sequential_native_0_5,0,outside_top20,1,rank_11_20,446
thinking_medium_roc_auc,year_2024,sequential_native_0_5,0,outside_top20,2,rank_6_10,268
thinking_medium_roc_auc,year_2024,sequential_native_0_5,0,outside_top20,3,top5,610
thinking_medium_roc_auc,year_2024,sequential_native_0_5,1,rank_11_20,0,outside_top20,288
thinking_medium_roc_auc,year_2024,sequential_native_0_5,1,rank_11_20,1,rank_11_20,57
thinking_medium_roc_auc,year_2024,sequential_native_0_5,1,rank_11_20,2,rank_6_10,44
thinking_medium_roc_auc,year_2024,sequential_native_0_5,1,rank_11_20,3,top5,179
thinking_medium_roc_auc,year_2024,sequential_native_0_5,2,rank_6_10,0,outside_top20,142
thinking_medium_roc_auc,year_2024,sequential_native_0_5,2,rank_6_10,1,rank_11_20,20
thinking_medium_roc_auc,year_2024,sequential_native_0_5,2,rank_6_10,2,rank_6_10,22
thinking_medium_roc_auc,year_2024,sequential_native_0_5,2,rank_6_10,3,top5,99
thinking_medium_roc_auc,year_2024,sequential_native_0_5,3,top5,0,outside_top20,114
thinking_medium_roc_auc,year_2024,sequential_native_0_5,3,top5,1,rank_11_20,19
thinking_medium_roc_auc,year_2024,sequential_native_0_5,3,top5,2,rank_6_10,20
thinking_medium_roc_auc,year_2024,sequential_native_0_5,3,top5,3,top5,131
thinking_medium_roc_auc,year_2025,sequential_native_0_5,0,outside_top20,0,outside_top20,6481
thinking_medium_roc_auc,year_2025,sequential_native_0_5,0,outside_top20,1,rank_11_20,468
thinking_medium_roc_auc,year_2025,sequential_native_0_5,0,outside_top20,2,rank_6_10,200
thinking_medium_roc_auc,year_2025,sequential_native_0_5,0,outside_top20,3,top5,650
thinking_medium_roc_auc,year_2025,sequential_native_0_5,1,rank_11_20,0,outside_top20,289
thinking_medium_roc_auc,year_2025,sequential_native_0_5,1,rank_11_20,1,rank_11_20,55
thinking_medium_roc_auc,year_2025,sequential_native_0_5,1,rank_11_20,2,rank_6_10,38
thinking_medium_roc_auc,year_2025,sequential_native_0_5,1,rank_11_20,3,top5,151
thinking_medium_roc_auc,year_2025,sequential_native_0_5,2,rank_6_10,0,outside_top20,127
thinking_medium_roc_auc,year_2025,sequential_native_0_5,2,rank_6_10,1,rank_11_20,26
thinking_medium_roc_auc,year_2025,sequential_native_0_5,2,rank_6_10,2,rank_6_10,20
thinking_medium_roc_auc,year_2025,sequential_native_0_5,2,rank_6_10,3,top5,92
thinking_medium_roc_auc,year_2025,sequential_native_0_5,3,top5,0,outside_top20,96
thinking_medium_roc_auc,year_2025,sequential_native_0_5,3,top5,1,rank_11_20,32
thinking_medium_roc_auc,year_2025,sequential_native_0_5,3,top5,2,rank_6_10,12
thinking_medium_roc_auc,year_2025,sequential_native_0_5,3,top5,3,top5,132
